η,key_rate,Tg,Tg_,α1,ϕ_α1,α2,ϕ_α2,β1,ϕ_β1,β2,ϕ_β2,β3,ϕ_β3,q
0.99,0.18707358984574007,0.7482802816114338,0.7271300521758997,-0.0245793296016632,0.07305423464473322,0.5670250750004107,0.05488572625540207,1.841308771810188,0.053921935391055706,1.2507157366312933,0.05661181547943788,0.024485801780812128,3.2154170777030955,0.0004826338204176917
0.989,0.1817714640449214,0.7381920536890896,0.7278332294199286,-0.023044504523139216,0.06508384270012135,0.5741192884322572,0.06262716360309542,1.8460386279139738,0.062466792818152844,1.2493165156597192,0.06282113747392878,0.02299847644955927,3.2055578837996275,0.0005771504780446414
0.988,0.17660928502623896,0.7281410251500314,0.7284132766620671,-0.0218431948905351,0.07048977312552027,0.5810492731229011,0.0703473567945822,1.8504414905877646,0.07039569562222918,1.2475564523349731,0.07047652192297509,0.021847172843275083,3.212383405366564,0.0006841744559512422
0.987,0.1715799056849353,0.7185077229976409,0.7290464601065948,-0.022038807944811535,0.09258854618502935,0.5860362789137012,0.07480246358300298,1.8530733006941082,0.0739333330574481,1.244523543129175,0.07618423154448459,0.022075006064002756,3.2339714365865473,0.0007950191567345457
0.986,0.16667730100311218,0.7090517280775891,0.729608340722003,-0.022048388531009877,0.07973071578806316,0.5912795884173551,0.08645587431063788,1.855914381025523,0.08685345036960351,1.2417530684731921,0.08591978909588995,0.022114805636275905,3.2225600920628517,0.0009201018499241475
0.985,0.16189654273518406,0.699710098861659,0.7301990888888803,-0.02177723142093442,0.09301591225187203,0.5964447591750401,0.08868782497816927,1.8588782711974632,0.08869383125763336,1.2392610445896726,0.08898308803974529,0.02186709874039943,3.2355917057969843,0.00105313593826429
0.984,0.15725376303897753,0.6901983747334697,0.730912124619467,0.016151459733639968,0.6857912833195792,0.6369786927676115,0.13386793873701927,1.8972571571181227,0.15081013799811827,1.272041926323678,0.10307070800787904,-0.01621474266361686,3.8285652835088406,0.0011944303409056982
0.983,0.15270386890383325,0.6814545589123764,0.7312286671890854,0.015674649145031236,0.769486248150553,0.6403746088731909,0.12679132456108977,1.8984517264927616,0.14544314789537902,1.2683814022705069,0.09297554585851173,-0.015810401865031798,3.912998624761263,0.00134914401822165
0.982,0.14826233281135448,0.6728481280558758,0.7316086474966303,0.016037562238271564,0.8138296356054893,0.6447802882440531,0.13722808224306993,1.9007366464180957,0.15728512903434266,1.2657785946755427,0.10170157320070171,-0.01617713318260709,3.9570234456220654,0.0015090196918892994
0.981,0.14392973887659755,0.6641554716645257,0.7319985081734499,0.005997874224209725,0.7196062466416876,0.6421656053866196,0.150240761505138,1.8957507923320105,0.15660695299677838,1.256256621343987,0.1392167149624314,-0.006038674906182492,3.862815130196344,0.001680284442216362
0.98,0.13969780445182056,0.6555604113713693,0.7322314093874717,0.004758831082282748,0.8042595907481431,0.6453719095425126,0.15790984300483896,1.896762144113678,0.16364159327019334,1.2526317356116554,0.14805769173690936,-0.004816225183160945,3.94649108329371,0.0018665869417926794
0.979,0.13556535750994703,0.647395721533813,0.7324527317637888,0.0049323360231197134,0.8175180160792868,0.6497140648314215,0.16175895590963013,1.8989861724148838,0.16779273864521527,1.2505844209702714,0.15168050260354415,-0.0049854924812606635,3.959354052268133,0.0020582774385370537
0.978,0.13153056075820269,0.6391137965434387,0.7326403336681869,0.0030060885494273396,0.8187615802679684,0.6523948417733318,0.16937956747724917,1.8994888494544584,0.17300608588437547,1.246915071421406,0.16325788525057497,-0.0030494822850120925,3.959532101230429,0.002257976000757314
0.977,0.12759038291557467,0.6311442103365806,0.7327152576721082,0.0012567956508321761,0.8458523993570627,0.6549922954760952,0.1782596284961882,1.8999366860674152,0.17993503270441583,1.243483773927449,0.1757683965343794,-0.0012817311259529644,3.9687771748865557,0.002477568161952702
